,0
0,fl**
1, 2일 전
2,신고
3,★★★★★ 맛 ★ 5 양 ★ 4 배달 ★ 5
4,"예~~~~전 보다 닭이 작아졌는게 그건 회사 방침이겠고, 종로 성대점은 늘 좋아요. 바삭하게 잘 먹었어요"
5,da**
6, 3일 전
7,신고
8,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
9,뿌링클/1
10,진짜너무너무맛있습니다
11,ay**
12, 4일 전
13,신고
14,★★★★★ 맛 ★ 4 양 ★ 5 배달 ★ 4
15,핫후라이드/1
16,맛있으면 먹어봐요 멋있어요
17,ga**
18, 4일 전
19,신고
20,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
21,"뿌링클순살/1(디저트(뿌링소떡),옵션(콜라1.25L))"
22,뿌링클 가루도 많이 뿌려주셔서 더 맛있게 먹었습니다!
23,ni**
24, 5일 전
25,신고
26,★★★★★ 맛 ★ 5 양 ★ 5
27,후라이드/1
28,후라이드치킨 따뜻할 때 먹으니 넘 맛나요^^
29,wl**
30, 5일 전
31,신고
32,★★★★★ 맛 ★ 5 양 ★ 5
33,항상 맛있게 먹어요
34,ja**
35, 일주일 전
36,신고
37,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
38,뿌링클/1
39,뿌링클이 최고죠! 맛있게 먹었습니다~
40,jy**
41, 2022년 4월 11일
42,신고
43,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
44,맛있게 잘 먹었습니다
45,zu**
46, 2022년 4월 11일
47,신고
48,★★★★★ 맛 ★ 5 양 ★ 5
49,맛있어요~ 잘 먹게 습니다.
50,yr**
51, 2022년 4월 11일
52,신고
53,★★★★★ 맛 ★ 5 양 ★ 5
54,뿌링클/1
55,자~~알 묵고 갑니다
56,na**
57, 2022년 4월 10일
58,신고
59,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
60,맛있어요! 감사합니다!
61,87**
62, 2022년 4월 10일
63,신고
64,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
65,맛있어요 굿굿 굿！！
66,ga**
67, 2022년 4월 10일
68,신고
69,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
70,뿌링클순살/1
71,맛있게 먹고 있어요~
72,wq**
73, 2022년 4월 10일
74,신고
75,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
76,너무 너무 맛있어요!
77,wr**
78, 2022년 4월 10일
79,신고
80,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
81,"뿌링클순살/1(디저트(뿌링감자,뿌링치즈스틱))"
82,배달도 빠르고 맛있어요~~~역쉬 쁘링클~~~~~!!!!
83,ls**
84, 2022년 4월 10일
85,신고
86,★★★★★ 맛 ★ 5 양 ★ 5
87,뿌링클/1
88,맛있고 양도 많아요%~
89,ga**
90, 2022년 4월 10일
91,신고
92,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
93,맛초킹/1
94,밥이랑 먹으니깐 완전 맛있어요
95,ga**
96, 2022년 4월 10일
97,신고
98,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
